customer_id,age,gender,region,segment,signup_date,churn_label,churn_date,relationship_manager,branch
CUST_005950,40.0,Female,,,2022-01-17 12:57:16,0,,RM_014,BR_008
CUST_004253,33.0,Male,West,Premium,2015-03-20 04:27:28,0,,RM_003,BR_018
CUST_005860,53.0,Female,East,Retail,2021-09-07 15:11:18,0,,RM_037,BR_027
CUST_009548,21.0,Female,South,SME,,0,,RM_049,BR_021
CUST_001615,62.0,Female,North,Corporate,2021-09-30 02:46:28,0,,RM_017,BR_001
CUST_000258,57.0,Female,East,Retail,2016-06-27 10:11:10,0,,RM_029,BR_009
CUST_001737,,Female,Central,Corporate,2015-01-11 01:38:25,0,,RM_001,BR_016
CUST_004942,48.0,Female,,,2018-02-16 06:09:52,0,,RM_046,BR_026
CUST_008570,32.0,Female,East,Premium,2015-08-21 09:46:13,1,2018-12-10 09:46:13,RM_025,BR_021
CUST_009835,53.0,Female,East,,2017-11-24 21:04:19,0,,RM_039,BR_030
CUST_007447,24.0,Male,East,,2019-08-16 03:24:08,1,2020-10-12 03:24:08,RM_005,BR_030
CUST_008874,42.0,Female,Central,Corporate,2022-09-07 02:59:47,0,,RM_037,BR_005
CUST_007121,,,North,Retail,2015-02-19 15:13:30,1,,RM_020,BR_026
CUST_003379,29.0,Male,East,SME,,0,,RM_023,BR_029
CUST_005766,43.0,Female,Central,Premium,,0,,RM_046,BR_006
CUST_009716,,Female,West,Corporate,2020-02-05 02:54:40,0,,RM_036,BR_016
CUST_004426,37.0,Female,East,,2015-12-20 16:30:02,0,,RM_046,BR_013
CUST_008574,66.0,Female,,Premium,2021-11-16 07:33:08,0,,RM_027,BR_029
CUST_000964,39.0,Male,South,Premium,,0,,RM_020,
CUST_000966,,Male,South,Premium,2020-02-10 01:55:53,1,2021-10-27 01:55:53,RM_047,BR_001
CUST_007254,56.0,Female,East,Retail,,0,,,
CUST_005254,,Female,Central,Premium,2019-03-21 08:15:48,0,,RM_006,BR_013
CUST_007168,71.0,Male,West,SME,,0,,RM_013,BR_007
CUST_006600,73.0,Female,Central,Corporate,2022-10-31 16:42:53,0,,RM_027,
CUST_009010,37.0,Male,North,Corporate,2023-04-12 01:57:14,0,,RM_018,BR_030
CUST_009748,33.0,Female,North,Premium,2021-06-16 15:31:55,0,,RM_014,BR_004
CUST_003281,65.0,Male,,SME,,0,,RM_045,BR_007
CUST_003203,66.0,Male,South,Premium,2018-07-27 16:10:30,1,2021-03-15 16:10:30,RM_049,BR_026
CUST_005502,20.0,Female,East,Corporate,,0,,RM_011,
CUST_007352,56.0,Male,East,SME,2018-08-13 13:26:45,0,,,BR_027
CUST_000767,32.0,Female,West,,,0,,RM_003,BR_006
CUST_002439,68.0,Male,North,Retail,2016-10-20 11:36:30,0,,RM_038,BR_028
CUST_003333,47.0,Male,West,Premium,,0,,RM_023,BR_019
CUST_009863,39.0,Male,,SME,2016-08-05 17:51:18,1,2018-03-08 17:51:18,RM_007,BR_027
CUST_009800,69.0,Female,South,,2017-02-12 05:57:44,0,,RM_015,BR_012
CUST_001303,62.0,Female,West,Retail,2020-03-09 02:54:08,1,2022-12-28 02:54:08,,
CUST_002881,25.0,Female,East,Premium,2022-12-03 22:01:22,0,,RM_021,BR_021
CUST_007749,40.0,,South,SME,2022-10-08 02:05:04,0,,RM_006,BR_017
CUST_003814,71.0,,West,SME,2022-08-02 05:58:16,0,,,BR_002
CUST_006022,66.0,Male,West,Retail,2017-02-10 16:27:12,0,,,BR_023
CUST_003079,45.0,Female,West,Premium,2017-11-19 12:38:05,0,,RM_023,BR_019
CUST_008535,18.0,Female,South,Premium,2022-06-13 09:07:45,0,,RM_021,BR_024
CUST_004284,64.0,Female,,Retail,2015-07-31 03:24:42,0,,RM_010,BR_010
CUST_006546,41.0,,East,SME,2023-02-07 17:51:51,0,,RM_025,BR_028
CUST_009608,68.0,Male,South,Corporate,2022-05-06 10:48:08,0,,,BR_015
CUST_007903,,Male,East,SME,2015-11-25 19:40:24,0,,RM_002,BR_012
CUST_003261,26.0,Female,West,SME,2021-04-10 00:12:10,0,,RM_042,BR_027
CUST_005313,30.0,Male,South,,2020-11-09 07:14:26,0,,RM_009,BR_025
CUST_000896,57.0,,West,Retail,2019-04-29 21:21:38,0,,RM_046,BR_007
CUST_000214,,Male,Central,Premium,2021-04-04 22:11:25,0,,RM_029,BR_022
CUST_006714,,Female,South,Retail,2022-05-03 07:24:34,0,,RM_006,BR_013
CUST_002155,48.0,,South,Premium,2021-11-26 20:48:56,1,2024-03-05 20:48:56,RM_006,BR_018
CUST_007457,,,East,Premium,2021-03-14 01:54:42,0,,RM_007,BR_009
CUST_003197,72.0,Female,South,Retail,2021-07-14 16:51:37,0,,RM_009,BR_003
CUST_000710,21.0,,Central,Corporate,,0,,RM_034,BR_003
CUST_005327,45.0,Male,Central,Premium,2021-04-11 16:37:47,1,2022-06-08 16:37:47,RM_030,BR_009
CUST_009607,73.0,,South,,,0,,,
CUST_002639,54.0,Female,East,Corporate,,0,,RM_001,
CUST_008817,45.0,Female,West,Retail,2019-07-17 16:35:24,0,,RM_041,BR_028
CUST_005146,18.0,Male,West,Corporate,2021-10-20 20:54:25,0,,RM_047,BR_007
CUST_000065,41.0,Female,North,SME,2018-06-28 10:59:13,0,,RM_023,
CUST_006165,60.0,Female,West,,2019-08-24 05:10:06,1,,RM_004,BR_007
CUST_004079,67.0,Male,,Retail,2019-04-06 05:22:24,1,2021-03-11 05:22:24,RM_010,BR_019
CUST_004351,22.0,Male,,Premium,,0,,RM_015,BR_006
CUST_007837,71.0,Female,East,,2019-10-04 07:09:32,0,,RM_042,BR_004
CUST_002405,60.0,Female,West,Corporate,2018-12-10 18:25:19,0,,RM_004,
CUST_009316,45.0,Female,South,Retail,2020-06-13 03:05:20,0,,RM_041,BR_014
CUST_002549,35.0,Female,Central,SME,2016-08-22 07:58:23,0,,RM_004,BR_006
CUST_000098,38.0,Female,South,,2020-05-29 05:38:39,0,,RM_046,BR_029
CUST_008597,29.0,Male,West,Retail,2018-04-28 01:42:32,0,,RM_002,BR_018
CUST_007381,38.0,Female,North,Retail,2020-01-13 06:08:52,0,,RM_004,BR_021
CUST_008377,,Female,East,Retail,,0,,RM_034,BR_015
CUST_007895,62.0,Male,North,,2015-08-02 20:22:01,1,2016-12-06 20:22:01,RM_026,
CUST_000789,,Male,South,Premium,2015-02-08 03:54:37,1,2015-08-19 03:54:37,RM_040,BR_001
CUST_004320,24.0,Male,North,Premium,2022-03-23 04:31:08,0,,RM_038,BR_023
CUST_003169,34.0,Male,Central,Retail,2023-06-13 02:35:35,0,,RM_029,BR_019
CUST_000913,64.0,Male,North,,2023-04-29 01:03:48,0,,RM_012,BR_013
CUST_009168,71.0,Female,South,Premium,2023-04-01 04:16:03,0,,RM_049,
CUST_004163,56.0,Female,East,Retail,2020-09-24 06:27:35,0,,RM_042,BR_029
CUST_005223,29.0,Female,East,SME,2019-03-14 04:39:06,0,,RM_020,BR_004
CUST_009995,41.0,Female,,,,1,2020-08-27 14:24:03,,BR_012
CUST_002317,52.0,,Central,Premium,2015-11-03 13:44:37,0,,RM_044,BR_022
CUST_005738,,Female,,Corporate,2022-10-31 14:27:55,0,,RM_013,BR_019
CUST_000406,31.0,Male,South,Premium,2018-09-07 08:00:42,0,,RM_017,BR_005
CUST_001180,21.0,Female,West,,,0,,,BR_017
CUST_004919,38.0,Male,North,,2018-05-21 21:13:31,0,,RM_022,BR_024
CUST_005115,39.0,Male,West,Retail,2020-10-05 02:52:05,0,,,BR_018
CUST_001050,69.0,,South,Retail,2019-04-26 18:40:39,1,2022-06-15 18:40:39,RM_003,BR_028
CUST_009466,64.0,Female,,Retail,2015-02-24 22:30:40,0,,RM_011,BR_007
CUST_000474,21.0,Female,Central,SME,,0,,RM_048,BR_009
CUST_000200,68.0,Female,Central,,,0,,RM_029,BR_001
CUST_001888,57.0,Female,East,SME,2018-10-27 11:07:30,1,2021-04-12 11:07:30,RM_034,BR_011
CUST_007771,24.0,Male,South,Corporate,2019-05-20 04:42:12,0,,RM_039,BR_002
CUST_009091,27.0,Male,West,Retail,2020-09-27 04:07:30,0,,RM_042,
CUST_007063,31.0,Female,South,Retail,2021-11-24 04:09:26,0,,,BR_024
CUST_002173,72.0,Female,West,Corporate,2015-11-23 11:13:17,0,,RM_021,
CUST_008464,,Female,Central,,2020-07-25 18:17:03,0,,RM_021,BR_028
CUST_009721,70.0,Male,Central,Premium,2018-10-04 17:17:37,0,,RM_024,
CUST_002106,63.0,Female,,Premium,2017-05-20 05:33:54,1,2020-11-19 05:33:54,RM_032,BR_023
CUST_005491,,Male,North,Premium,2023-01-13 08:25:39,0,,RM_043,BR_026
CUST_003827,57.0,Male,East,Retail,2021-11-12 06:24:05,0,,RM_043,BR_023
CUST_006062,,,Central,SME,2022-09-28 08:06:25,1,2023-02-25 08:06:25,,BR_025
CUST_006767,31.0,,East,SME,2022-06-19 22:44:51,0,,RM_020,BR_002
CUST_002477,48.0,Female,South,,2022-04-22 14:15:57,1,2024-02-14 14:15:57,RM_048,BR_020
CUST_006449,,Female,South,,2018-09-24 20:44:00,0,,RM_040,BR_018
CUST_007660,37.0,Male,,SME,2023-05-16 12:57:32,0,,RM_023,
CUST_008279,66.0,,,Corporate,2015-11-03 12:12:32,1,2019-04-06 12:12:32,RM_037,BR_002
CUST_008939,46.0,Female,North,,2017-01-07 18:22:07,0,,RM_050,BR_023
CUST_007721,,Male,North,SME,2017-03-09 09:59:24,0,,,BR_026
CUST_005017,50.0,,South,Corporate,,0,,RM_046,BR_009
CUST_009064,67.0,Female,North,,2022-10-27 18:24:50,0,,RM_035,BR_007
CUST_005152,42.0,,,,2018-03-27 07:51:48,0,,,BR_007
CUST_004308,26.0,,East,Premium,2021-05-21 14:08:05,1,2022-03-03 14:08:05,RM_018,BR_013
CUST_001309,69.0,,West,Corporate,,0,,,BR_015
CUST_005239,68.0,Male,West,SME,,0,,,BR_002
CUST_006805,63.0,Female,West,SME,,1,2022-07-05 19:40:47,RM_035,
CUST_003080,68.0,Male,North,,2018-01-24 05:37:28,0,,RM_002,BR_011
CUST_008438,44.0,Female,Central,Premium,2020-02-15 03:22:49,1,2022-11-11 03:22:49,RM_033,BR_020
CUST_003798,,Male,North,SME,2015-03-09 09:16:04,0,,,BR_004
CUST_004077,23.0,Male,East,Retail,2021-07-15 12:17:14,0,,RM_036,BR_006
CUST_001803,42.0,Female,Central,Premium,2016-02-01 22:59:07,0,,RM_036,BR_025
CUST_000023,37.0,,West,SME,,1,,RM_044,BR_011
CUST_002200,51.0,Male,South,Premium,,0,,RM_041,BR_030
CUST_006323,63.0,,North,Corporate,2016-08-07 21:55:14,1,2017-03-20 21:55:14,RM_005,BR_015
CUST_002973,24.0,Male,Central,SME,2017-05-27 09:18:46,1,2021-06-23 09:18:46,,BR_010
CUST_004355,49.0,Male,Central,Corporate,2021-08-31 04:59:06,0,,RM_035,BR_010
CUST_001436,,Male,South,SME,2020-07-18 08:44:47,0,,RM_016,BR_005
CUST_005995,61.0,Female,Central,,2021-05-02 02:00:44,1,,RM_034,
CUST_003555,49.0,,West,Premium,,0,,RM_013,BR_012
CUST_005884,49.0,Female,West,,2019-07-29 19:24:23,1,2020-05-22 19:24:23,RM_017,BR_017
CUST_003557,37.0,,,SME,2018-07-29 00:53:58,0,,RM_043,BR_025
CUST_009595,58.0,,,Corporate,2021-03-13 11:21:54,1,2024-03-04 11:21:54,RM_024,BR_023
CUST_007058,63.0,Female,South,Corporate,2021-10-03 02:14:28,0,,RM_038,BR_030
CUST_000639,23.0,Female,West,SME,2023-01-22 08:34:29,0,,RM_013,BR_023
CUST_004944,49.0,Female,West,Retail,2015-06-06 06:40:14,1,,RM_027,BR_016
CUST_000336,71.0,Female,West,Premium,2023-03-07 21:11:50,0,,RM_036,
CUST_005774,46.0,,Central,Premium,2019-11-03 00:28:34,0,,RM_042,BR_024
CUST_003307,74.0,,,Corporate,2022-11-24 17:05:26,0,,RM_044,
CUST_001079,,Male,West,,2022-02-07 05:10:54,0,,RM_041,BR_005
CUST_005920,34.0,,,Premium,2022-11-15 09:09:15,1,2024-12-31 00:00:00,RM_032,BR_021
CUST_000535,,Male,West,SME,2016-04-21 12:12:36,0,,RM_019,BR_028
CUST_002740,37.0,Female,East,Retail,,0,,RM_017,BR_003
CUST_007716,32.0,Female,North,Retail,2019-09-17 22:25:41,0,,RM_022,BR_002
CUST_005983,35.0,Female,South,,2016-10-13 16:33:58,0,,,
CUST_009301,37.0,Male,South,Retail,2019-11-17 11:17:04,0,,RM_044,BR_007
CUST_001993,23.0,Female,West,SME,,1,2015-07-13 03:53:00,RM_021,
CUST_001750,38.0,Female,Central,Corporate,2022-07-16 05:53:32,0,,RM_050,
CUST_005996,46.0,Female,,SME,,0,,RM_022,BR_026
CUST_005671,48.0,Female,Central,Premium,2021-09-07 02:11:37,0,,RM_004,BR_022
CUST_006798,70.0,Female,East,SME,2021-11-25 09:34:42,0,,RM_012,BR_012
CUST_000848,,Female,West,Retail,2021-12-18 13:56:03,0,,RM_040,BR_009
CUST_001015,33.0,Male,South,,,1,,RM_025,BR_017
CUST_009150,52.0,Male,West,Premium,,0,,RM_035,
CUST_006314,62.0,Female,East,Premium,2015-06-19 19:09:26,0,,,BR_030
CUST_008935,67.0,,East,Premium,2020-07-23 11:25:29,0,,,
CUST_005038,63.0,Female,East,,2021-07-21 06:57:33,0,,RM_035,BR_009
CUST_004511,50.0,Female,South,SME,2021-01-14 09:59:33,0,,RM_010,BR_023
CUST_004579,40.0,,North,Premium,2016-10-27 20:28:55,0,,RM_030,BR_027
CUST_007434,35.0,Male,North,Retail,2018-08-31 01:51:34,0,,RM_039,BR_016
CUST_007386,,Female,North,,,0,,RM_038,BR_030
CUST_006769,30.0,,West,Premium,2018-05-16 16:10:39,0,,RM_011,
CUST_000364,31.0,Male,Central,,2015-12-26 18:32:47,0,,RM_024,BR_030
CUST_004580,32.0,Female,North,,2017-08-12 06:19:31,0,,RM_015,BR_023
CUST_007598,32.0,Female,South,Corporate,2018-11-05 23:15:39,0,,RM_037,BR_017
CUST_006414,25.0,Male,,SME,,0,,RM_048,
CUST_000972,26.0,Female,South,Corporate,2019-01-20 12:12:02,0,,RM_008,BR_030
CUST_003099,48.0,Male,West,Premium,2020-12-14 11:23:02,1,2022-10-09 11:23:02,,BR_001
CUST_003659,,,Central,Corporate,2019-05-11 16:49:57,0,,RM_010,BR_026
CUST_008258,42.0,Male,North,Corporate,2019-04-10 10:45:14,0,,RM_022,
CUST_007723,,Female,North,Premium,2020-04-07 14:08:41,0,,RM_004,BR_030
CUST_008320,,Male,,SME,,0,,RM_021,BR_018
CUST_000537,28.0,Male,Central,,2015-12-25 06:00:15,0,,RM_005,BR_030
CUST_002714,53.0,Male,Central,Retail,2016-05-21 20:11:07,0,,RM_017,BR_007
CUST_008964,63.0,Female,South,Corporate,2023-06-23 05:22:58,0,,,BR_016
CUST_000048,58.0,Male,North,Premium,2022-08-02 11:04:52,0,,RM_021,BR_027
CUST_001977,72.0,Female,West,Retail,2021-09-30 09:44:13,0,,RM_008,
CUST_003780,25.0,Female,Central,,2019-09-15 10:47:12,0,,RM_002,
CUST_009114,35.0,,North,Premium,2019-10-15 01:19:32,0,,RM_021,BR_014
CUST_007574,59.0,Female,North,Retail,2015-11-08 12:23:51,0,,,
CUST_005274,55.0,Female,East,Corporate,,0,,RM_002,BR_009
CUST_009541,,Female,,Premium,,0,,RM_003,BR_012
CUST_008519,42.0,,Central,SME,2019-03-24 21:18:45,0,,RM_031,BR_020
CUST_000944,,Female,,Retail,2016-02-06 04:50:12,0,,RM_033,BR_028
CUST_002193,52.0,Female,,Corporate,2017-06-20 18:21:37,0,,RM_013,BR_014
CUST_000290,70.0,,South,Premium,2021-11-10 04:00:51,0,,RM_001,BR_026
CUST_002784,53.0,Female,East,Retail,2022-02-02 06:18:58,0,,RM_013,BR_001
CUST_002576,63.0,Male,North,Retail,2018-04-05 05:10:50,0,,,BR_006
CUST_006620,,Male,West,Premium,2016-08-19 23:23:38,0,,RM_017,BR_024
CUST_004131,33.0,Female,West,Retail,2023-04-10 04:45:32,0,,RM_013,BR_006
CUST_005015,33.0,Male,North,Premium,2018-07-26 02:41:31,1,2019-05-20 02:41:31,RM_035,
CUST_009578,25.0,Male,North,Corporate,2018-10-17 05:49:02,0,,RM_015,BR_029
CUST_000646,,Male,East,Retail,2018-11-29 11:05:04,0,,RM_010,BR_005
CUST_009336,57.0,Female,Central,Premium,,0,,RM_036,BR_010
CUST_007870,,Female,East,Retail,2021-12-18 05:30:04,0,,RM_006,BR_029
CUST_000836,23.0,,West,Premium,2021-11-12 12:01:20,0,,RM_006,BR_007
CUST_003417,48.0,Male,Central,SME,2020-02-07 04:40:13,0,,RM_030,BR_012
CUST_001373,,Female,South,Premium,,1,2024-12-31 00:00:00,RM_022,BR_002
CUST_005286,61.0,,West,,,0,,RM_045,BR_021
CUST_003816,21.0,Male,North,Corporate,2015-02-04 04:10:07,1,2015-12-17 04:10:07,RM_046,BR_018
CUST_006367,23.0,Male,West,,,0,,RM_004,BR_010
CUST_001260,19.0,Female,South,SME,2022-11-08 10:11:22,0,,RM_021,BR_002
CUST_000291,30.0,Female,,SME,2017-04-08 03:48:14,0,,RM_028,BR_020
CUST_004478,27.0,Female,South,Corporate,2018-02-18 06:15:27,0,,RM_008,BR_020
CUST_008529,,Male,North,Corporate,2016-01-31 10:02:44,1,2019-03-05 10:02:44,RM_005,BR_014
CUST_007188,31.0,Male,North,Retail,2017-06-08 18:20:00,0,,,BR_025
CUST_002457,65.0,Male,,Premium,2016-10-29 11:35:31,0,,RM_019,BR_001
CUST_000833,47.0,Female,North,,2016-03-19 15:41:33,0,,RM_017,
CUST_004416,,Female,South,Premium,,0,,RM_047,BR_009
CUST_002759,39.0,Female,Central,SME,2016-09-26 06:12:55,0,,RM_024,BR_004
CUST_006486,58.0,Female,,,2017-07-25 02:22:01,0,,RM_023,
CUST_002407,46.0,Male,North,SME,,1,2022-08-05 15:53:52,RM_047,BR_012
CUST_005901,62.0,Male,North,Premium,2017-11-09 10:53:57,1,2021-08-30 10:53:57,RM_024,BR_008
CUST_005674,57.0,Female,East,Premium,2019-08-15 04:09:37,1,2022-05-28 04:09:37,RM_006,
CUST_009021,73.0,Female,North,,2021-06-25 09:45:06,0,,RM_017,BR_007
CUST_004776,56.0,Female,South,Retail,2021-06-03 08:17:33,0,,RM_007,BR_008
CUST_005744,51.0,Male,East,,2016-03-23 03:00:17,0,,RM_027,BR_024
CUST_006553,62.0,Male,,Corporate,2017-05-05 00:28:41,0,,RM_044,BR_029
CUST_008882,26.0,Female,,Retail,2021-03-26 00:52:56,1,2022-01-15 00:52:56,RM_012,
CUST_003833,59.0,Female,North,SME,2023-02-24 22:23:06,0,,RM_027,BR_025
CUST_008165,66.0,Male,Central,SME,2019-01-20 19:40:15,0,,RM_029,BR_017
CUST_003852,19.0,,East,Retail,,0,,RM_043,BR_027
CUST_007246,,Male,South,Corporate,2016-08-11 15:51:29,0,,RM_012,BR_028
CUST_004955,19.0,Male,Central,SME,2016-12-29 11:22:49,1,2018-09-29 11:22:49,RM_021,
CUST_006932,32.0,Male,West,Premium,2019-09-10 08:04:06,0,,RM_018,
CUST_003615,55.0,Female,,Retail,2023-06-17 20:46:49,0,,RM_014,BR_016
CUST_008903,,Female,North,SME,2022-01-01 14:34:01,0,,RM_017,BR_015
CUST_005378,24.0,Female,West,Retail,2023-05-20 12:03:00,0,,RM_029,BR_013
CUST_000604,35.0,Female,North,Premium,2022-01-06 10:08:01,0,,RM_032,BR_021
CUST_009586,,Male,,Retail,2016-05-04 08:10:08,0,,RM_040,BR_014
CUST_002709,68.0,Female,South,Retail,2019-04-21 02:00:12,1,2022-01-11 02:00:12,,BR_019
CUST_009671,48.0,,Central,Premium,2018-08-23 23:47:03,0,,RM_046,BR_010
CUST_002521,,Female,Central,Retail,2017-10-01 20:26:13,0,,RM_016,BR_009
CUST_007263,74.0,Female,North,Premium,,0,,RM_004,BR_019
CUST_008334,35.0,Male,North,SME,,0,,RM_018,BR_022
CUST_001115,,Male,East,Premium,,0,,,BR_005
CUST_007704,33.0,Male,,Retail,,0,,,BR_007
CUST_004881,50.0,,North,SME,2017-11-13 22:48:17,1,,RM_049,BR_002
CUST_006961,,Female,West,Retail,2017-08-05 21:40:23,0,,RM_048,BR_029
CUST_002216,19.0,Female,East,Retail,2016-08-20 10:00:05,0,,RM_007,BR_009
CUST_008879,32.0,Female,Central,Premium,,1,2020-10-12 23:48:48,RM_040,BR_001
CUST_007357,22.0,Female,South,SME,2021-06-18 22:18:26,1,2024-05-08 22:18:26,RM_013,BR_030
CUST_002980,25.0,Female,West,,2020-07-03 15:58:56,0,,RM_024,BR_019
CUST_003558,18.0,Female,South,Corporate,2021-10-06 23:10:19,1,2024-04-18 23:10:19,RM_030,BR_020
CUST_002803,45.0,Male,West,Premium,,0,,RM_032,BR_024
CUST_005369,73.0,Female,North,Retail,2019-02-16 11:14:54,0,,RM_016,BR_020
CUST_002373,45.0,Male,West,Premium,2022-04-02 04:39:51,0,,,BR_021
CUST_007161,23.0,Male,East,Corporate,2015-12-20 22:57:43,0,,RM_023,BR_019
CUST_001461,24.0,Female,West,,2015-05-28 09:17:50,1,,,BR_017
CUST_005304,60.0,Female,Central,SME,2018-05-08 12:13:17,0,,,
CUST_005903,52.0,,,Corporate,,0,,RM_009,BR_020
CUST_009714,,Male,West,,2022-09-25 07:46:08,0,,RM_046,BR_029
CUST_006771,,Male,East,Premium,2017-01-16 09:49:19,1,2020-04-25 09:49:19,RM_005,BR_019
CUST_009674,61.0,Male,,,2015-01-20 01:22:02,1,2017-02-02 01:22:02,RM_024,BR_003
CUST_008094,66.0,Male,South,,,0,,RM_049,
CUST_006390,73.0,Female,South,Premium,2017-08-18 16:51:29,0,,RM_041,BR_015
CUST_000729,71.0,Male,North,Premium,2020-08-02 16:36:21,0,,RM_034,BR_028
CUST_001077,49.0,Female,East,SME,2016-05-29 15:26:04,1,2017-05-17 15:26:04,RM_039,BR_020
CUST_009597,26.0,Female,South,,2018-06-21 11:30:35,1,2020-11-15 11:30:35,,BR_007
CUST_005013,52.0,,East,Premium,2018-12-05 23:38:57,0,,,BR_029
CUST_001551,30.0,Male,Central,Corporate,2019-07-13 03:28:05,0,,RM_020,BR_028
CUST_000371,35.0,Female,Central,Corporate,2020-08-14 11:21:27,1,2022-10-15 11:21:27,RM_016,BR_020
CUST_003618,45.0,Male,Central,Premium,2018-09-29 20:47:09,0,,RM_046,BR_023
CUST_003799,68.0,Male,,Corporate,2015-03-10 23:13:20,1,2017-09-16 23:13:20,RM_008,BR_026
CUST_007529,31.0,Male,Central,Corporate,2023-03-01 19:55:22,0,,RM_003,
CUST_006928,34.0,Female,East,Premium,,1,2022-03-06 10:28:05,RM_016,BR_008
CUST_009710,51.0,Female,,Premium,2022-12-14 07:54:02,0,,,BR_015
CUST_001721,40.0,Male,,Retail,,0,,RM_022,BR_014
CUST_000142,57.0,Female,East,,2017-05-07 20:28:12,0,,RM_030,BR_021
CUST_009220,,Male,North,Premium,2019-09-23 09:29:31,0,,RM_004,BR_018
CUST_009538,42.0,Male,East,Premium,,0,,RM_012,BR_017
CUST_005412,33.0,Female,North,,2023-04-04 03:02:05,0,,RM_046,BR_008
CUST_009504,49.0,,Central,,2017-09-26 23:34:20,0,,RM_029,BR_030
CUST_003036,71.0,Female,Central,Retail,2017-06-22 16:53:42,1,2018-05-21 16:53:42,RM_021,BR_007
CUST_008931,22.0,Female,Central,SME,,1,2016-12-15 15:03:57,RM_019,
CUST_002711,44.0,Female,,SME,2018-09-07 01:35:36,0,,RM_042,BR_011
CUST_007617,58.0,Female,South,Corporate,2018-04-25 13:58:27,0,,RM_035,
CUST_006942,30.0,Male,South,,2022-09-20 21:01:49,1,2024-12-31 00:00:00,RM_034,BR_012
CUST_007280,37.0,Female,North,SME,2017-12-21 20:01:04,1,2019-12-05 20:01:04,RM_001,BR_028
CUST_006818,,,West,Corporate,2016-12-20 21:55:34,0,,RM_028,BR_007
CUST_001658,26.0,Male,Central,SME,2017-02-25 20:48:54,1,2017-10-07 20:48:54,RM_011,BR_002
CUST_007538,72.0,Female,North,Premium,,1,2020-07-25 23:44:54,RM_005,BR_029
CUST_006147,52.0,Male,West,Retail,2017-04-09 03:55:32,0,,RM_016,BR_011
CUST_008709,,Female,South,Corporate,2022-11-27 05:43:45,0,,,BR_009
CUST_009154,,Male,Central,Premium,2019-08-09 11:03:51,1,2020-08-22 11:03:51,RM_018,BR_010
CUST_009956,42.0,,West,SME,2020-02-13 05:12:08,0,,RM_012,BR_009
CUST_002000,74.0,Male,East,Premium,2018-05-18 02:39:19,0,,RM_048,BR_005
CUST_000450,44.0,Male,Central,Corporate,2023-02-26 19:15:23,0,,RM_002,BR_022
CUST_003103,18.0,Female,West,Retail,,0,,RM_043,BR_024
CUST_006214,,Male,North,Premium,2020-01-21 20:32:24,0,,RM_018,BR_011
CUST_006838,52.0,Male,North,SME,2019-06-28 21:51:35,0,,RM_032,BR_027
CUST_000107,73.0,,Central,Corporate,2020-08-24 08:48:59,1,2022-03-21 08:48:59,RM_016,BR_028
CUST_009276,30.0,Male,,,,0,,RM_039,BR_029
