interaction_id,customer_id,date,channel,reason,resolved,sentiment_score
INT_0011332,CUST_007520,2024-05-04 17:38:48,Chat,Complaint,No,9.1
INT_0001014,CUST_006548,2024-02-16 14:33:13,Email,Inquiry,Yes,2.2
INT_0005088,CUST_001598,,Chat,Inquiry,Yes,5.8
INT_0006856,CUST_002655,2019-12-21 10:24:04,,Feedback,Yes,7.2
INT_0008205,CUST_007583,2021-02-26 21:18:11,Email,,Yes,8.2
INT_0000045,CUST_002298,2023-09-27 05:06:05,Call Centre,Loan Query,Yes,8.3
INT_0019592,CUST_004235,2018-06-15 21:55:05,Branch,Complaint,No,8.6
INT_0005000,CUST_009795,2022-02-04 11:40:10,Branch,Feedback,,
INT_0002664,CUST_007980,2023-09-11 00:34:04,Branch,Loan Query,No,6.6
INT_0001240,CUST_008471,2018-03-24 05:52:01,,Loan Query,Yes,2.8
INT_0016800,CUST_009742,2023-08-03 10:20:49,Chat,,Yes,5.9
INT_0018175,CUST_003953,2018-10-05 09:57:45,Call Centre,Inquiry,Yes,1.2
INT_0006753,CUST_002498,2020-12-04 19:41:58,Call Centre,,Yes,2.5
INT_0019421,CUST_003278,2021-01-17 17:31:07,,Inquiry,No,3.9
INT_0010124,CUST_009384,2024-02-29 11:11:33,Call Centre,Loan Query,Yes,5.6
INT_0010369,CUST_008903,,Branch,,Yes,
INT_0008341,CUST_009280,,Branch,Loan Query,Yes,5.9
INT_0016593,CUST_005194,2020-02-28 19:07:55,Email,Account Issue,No,9.0
INT_0004032,CUST_001131,,,Inquiry,Yes,9.7
INT_0008342,CUST_001989,2022-09-29 12:30:20,Email,Inquiry,Yes,6.6
INT_0004399,CUST_002257,2024-06-23 03:31:25,Call Centre,,Yes,8.9
INT_0014782,CUST_002267,2023-11-30 08:31:16,Call Centre,Complaint,Yes,3.0
INT_0011337,CUST_007088,,Chat,,Yes,6.3
INT_0006005,CUST_006728,2021-05-17 19:57:00,Chat,Feedback,Yes,1.9
INT_0002811,CUST_008129,2018-02-19 04:56:16,Branch,Inquiry,Yes,6.7
INT_0019645,CUST_006579,2019-09-06 02:24:52,,Feedback,No,6.8
INT_0019102,CUST_008554,,Chat,,Yes,3.5
INT_0008519,CUST_005677,2020-10-15 15:32:29,Email,Complaint,Yes,
INT_0005358,CUST_009520,2019-03-17 10:57:49,Chat,Account Issue,Yes,4.1
INT_0005213,CUST_009974,2023-04-21 14:34:38,Email,Feedback,Yes,
INT_0019852,CUST_003179,2023-10-12 14:04:27,Chat,Loan Query,,1.6
INT_0019649,CUST_000771,2022-11-30 10:36:41,Email,,Yes,1.0
INT_0001459,CUST_000309,2021-06-11 09:57:53,Branch,Account Issue,,3.2
INT_0000300,CUST_002682,2022-11-26 16:43:17,Branch,Complaint,Yes,6.5
INT_0010778,CUST_006948,2024-08-18 01:57:52,Chat,Inquiry,No,6.6
INT_0017315,CUST_006508,2024-10-09 21:52:54,,Account Issue,No,1.0
INT_0016524,CUST_000565,2022-02-03 12:11:29,Email,Inquiry,Yes,5.8
INT_0005295,CUST_000393,2018-12-04 18:41:30,Call Centre,Account Issue,Yes,7.1
INT_0011029,CUST_001111,,Chat,Loan Query,Yes,7.7
INT_0004815,CUST_006562,2023-12-21 12:55:19,Call Centre,Account Issue,Yes,4.0
INT_0005282,CUST_004100,2022-12-28 09:24:33,Branch,Account Issue,Yes,6.1
INT_0018555,CUST_007730,2021-09-25 16:10:03,Email,Feedback,Yes,5.4
INT_0000570,CUST_008871,2018-04-20 00:12:03,Email,Loan Query,Yes,3.6
INT_0000554,CUST_004584,2021-12-11 07:22:28,Chat,Inquiry,Yes,6.7
INT_0003685,CUST_009427,2024-02-11 21:13:02,Branch,Feedback,Yes,6.6
INT_0007209,CUST_000496,2022-06-27 18:04:15,Chat,Inquiry,Yes,5.5
INT_0006604,CUST_007414,2024-10-07 11:29:13,Chat,Feedback,,8.1
INT_0019239,CUST_003332,2020-03-26 14:44:22,Call Centre,Inquiry,Yes,
INT_0015081,CUST_005750,2019-08-19 14:33:49,Email,,Yes,6.5
INT_0016761,CUST_000019,2018-07-31 11:58:14,Email,,No,7.2
INT_0011867,CUST_003778,2024-02-22 16:21:36,Email,Account Issue,No,8.9
INT_0010135,CUST_006065,2023-07-26 10:25:39,Branch,Complaint,No,
INT_0015388,CUST_003023,,,Loan Query,Yes,
INT_0006679,CUST_004113,2021-11-28 22:13:09,,Feedback,,2.3
INT_0018261,CUST_004412,2023-03-24 09:43:14,Branch,,No,3.7
INT_0014608,CUST_009962,2020-09-04 20:06:00,Email,Inquiry,Yes,2.2
INT_0005507,CUST_005709,2020-04-03 21:11:12,,Loan Query,Yes,7.3
INT_0005667,CUST_005393,2019-05-19 21:23:39,Email,Feedback,,7.8
INT_0007153,CUST_005893,2018-02-13 03:34:31,Chat,Inquiry,Yes,9.7
INT_0012200,CUST_009292,2018-06-12 12:13:19,Call Centre,Inquiry,Yes,2.1
INT_0003434,CUST_004507,2024-06-23 22:04:09,Branch,Loan Query,Yes,2.7
INT_0008354,CUST_008514,2018-12-04 05:03:45,Chat,Complaint,,
INT_0010523,CUST_004823,2019-10-02 16:55:47,Call Centre,,No,5.8
INT_0018565,CUST_006266,2018-04-25 19:09:05,Call Centre,Inquiry,Yes,
INT_0014617,CUST_009330,2023-06-07 08:54:58,,Inquiry,Yes,2.8
INT_0017646,CUST_004219,2021-01-23 05:16:33,Call Centre,Feedback,No,5.6
INT_0005248,CUST_003643,,Branch,Feedback,Yes,9.9
INT_0002479,CUST_002738,2023-09-05 14:19:36,Branch,Account Issue,No,3.5
INT_0010579,CUST_003131,,Branch,Inquiry,Yes,6.5
INT_0009432,CUST_005977,2019-05-14 01:02:16,Call Centre,Inquiry,,4.8
INT_0010286,CUST_004149,2020-06-01 09:39:28,Branch,,Yes,7.6
INT_0019172,CUST_009507,2022-10-20 15:06:57,Email,Complaint,,3.3
INT_0008482,CUST_007400,2024-04-20 04:25:46,Call Centre,Loan Query,Yes,9.2
INT_0001089,CUST_007461,2018-03-01 05:42:48,Email,Complaint,,7.6
INT_0009288,CUST_003519,2022-11-22 18:57:00,Chat,Feedback,Yes,2.3
INT_0019449,CUST_003672,2019-11-04 10:16:46,Email,Loan Query,Yes,
INT_0011104,CUST_003827,2022-01-08 15:41:01,Call Centre,Inquiry,Yes,9.6
INT_0013207,CUST_009271,2024-01-06 05:56:53,Chat,Loan Query,Yes,3.6
INT_0019575,CUST_004258,2018-05-02 09:07:55,,Feedback,No,4.3
INT_0011912,CUST_003683,,,Feedback,,5.4
INT_0005269,CUST_005565,2021-08-16 17:26:05,,Inquiry,No,
INT_0015541,CUST_003475,2024-06-29 13:37:17,Branch,Complaint,Yes,2.1
INT_0001349,CUST_004812,2019-05-18 15:45:56,Email,Complaint,Yes,5.2
INT_0015566,CUST_005478,2018-10-04 16:03:24,Email,Inquiry,Yes,3.8
INT_0015133,CUST_000311,2023-12-09 20:10:42,,Account Issue,Yes,5.9
INT_0001284,CUST_009350,,Branch,Account Issue,Yes,7.5
INT_0006961,CUST_004326,2024-10-21 17:28:11,Email,Inquiry,Yes,
INT_0017096,CUST_005102,2023-07-17 23:01:13,Chat,Feedback,Yes,9.8
INT_0018664,CUST_008100,2023-10-01 00:15:52,Email,Inquiry,Yes,
INT_0004681,CUST_000665,2023-05-14 22:44:35,Branch,Loan Query,,
INT_0015665,CUST_006690,2018-08-26 10:11:44,Chat,Inquiry,Yes,8.3
INT_0019947,CUST_009790,,,,Yes,8.9
INT_0019803,CUST_003641,2023-03-18 14:48:14,Chat,Loan Query,,2.5
INT_0005292,CUST_003527,,Call Centre,Inquiry,No,6.3
INT_0019375,CUST_003728,2019-09-25 18:18:39,Chat,Account Issue,No,2.4
INT_0004398,CUST_004692,,Chat,Account Issue,Yes,6.5
INT_0017711,CUST_003814,2018-04-22 19:44:46,Email,Loan Query,No,3.3
INT_0006370,CUST_004609,2018-03-15 12:09:04,Call Centre,,Yes,6.0
INT_0003746,CUST_001230,2018-10-10 20:34:36,Chat,Complaint,No,3.0
INT_0002570,CUST_004917,2021-09-08 03:21:18,Chat,Loan Query,,
INT_0005782,CUST_008206,2022-05-03 12:54:19,Email,Feedback,No,9.8
INT_0016886,CUST_003070,2021-06-17 18:17:57,Chat,Feedback,Yes,6.4
INT_0003678,CUST_007646,2019-10-18 03:25:58,Email,,Yes,9.3
INT_0019048,CUST_005491,2023-05-27 02:55:46,Chat,Inquiry,No,8.5
INT_0014881,CUST_003197,2020-01-23 12:08:02,Chat,Account Issue,,2.2
INT_0000808,CUST_003275,2022-03-16 04:55:03,Email,Feedback,Yes,1.5
INT_0011049,CUST_002533,2019-04-25 22:46:37,Chat,Complaint,Yes,9.2
INT_0014498,CUST_000458,2021-01-04 21:58:30,Branch,Inquiry,Yes,4.3
INT_0014674,CUST_000031,2020-03-16 06:45:44,Chat,Loan Query,Yes,1.6
INT_0010930,CUST_004485,2022-10-31 21:58:11,Call Centre,,Yes,7.9
INT_0007516,CUST_006894,2024-02-04 09:17:23,,Account Issue,Yes,2.3
INT_0013230,CUST_003310,2024-08-21 09:22:32,Email,Feedback,Yes,6.4
INT_0008667,CUST_001177,2024-01-12 22:30:07,Call Centre,Inquiry,,8.2
INT_0012971,CUST_000800,2022-08-27 02:22:16,Chat,Feedback,No,
INT_0011901,CUST_003062,2019-10-19 23:54:44,Call Centre,,Yes,6.4
INT_0018715,CUST_005700,2020-12-22 03:42:38,Call Centre,Complaint,Yes,2.7
INT_0010647,CUST_003917,2023-02-11 15:53:05,Chat,Feedback,,7.0
INT_0019912,CUST_005755,,Chat,Inquiry,Yes,3.1
INT_0000249,CUST_006759,2023-07-17 10:42:21,Branch,Inquiry,Yes,8.7
INT_0002113,CUST_006405,2019-12-20 06:04:10,,,Yes,3.4
INT_0000419,CUST_002996,2024-08-04 13:41:24,,Loan Query,No,6.2
INT_0014762,CUST_008210,2019-11-05 00:21:31,Chat,Account Issue,Yes,6.8
INT_0019054,CUST_009502,,Email,Inquiry,No,8.4
INT_0011461,CUST_006667,2021-04-15 04:41:51,,Loan Query,Yes,3.6
INT_0004824,CUST_004958,2018-03-05 19:02:41,Call Centre,,No,
INT_0001257,CUST_007905,2020-04-22 13:39:22,Call Centre,,Yes,2.7
INT_0001975,CUST_000182,2020-06-01 06:57:08,Chat,Account Issue,Yes,9.9
INT_0015549,CUST_004996,2024-02-09 12:00:22,Branch,Loan Query,No,4.6
INT_0000674,CUST_000283,2023-09-24 01:58:54,Call Centre,Feedback,Yes,9.9
INT_0000188,CUST_000368,2018-02-28 11:03:14,Call Centre,Inquiry,Yes,4.7
INT_0003620,CUST_006755,2019-01-02 00:09:21,Chat,Complaint,,
INT_0014585,CUST_005530,2022-06-29 04:46:46,Call Centre,Inquiry,No,5.9
INT_0018407,CUST_003327,2019-05-13 11:53:42,,Feedback,No,8.7
INT_0001280,CUST_007250,2018-03-04 09:44:44,Branch,,No,
INT_0019110,CUST_007815,2019-02-01 23:03:55,Chat,Complaint,Yes,3.8
INT_0003366,CUST_003429,,Chat,,Yes,6.2
INT_0000984,CUST_000290,2023-01-20 03:23:31,Email,Feedback,No,
INT_0012284,CUST_004420,,Call Centre,Account Issue,Yes,4.1
INT_0010809,CUST_003775,2023-04-25 01:15:14,Branch,Loan Query,Yes,3.7
INT_0013972,CUST_003066,2024-05-05 02:43:19,,,Yes,8.1
INT_0003645,CUST_002849,2022-06-01 06:38:07,,Account Issue,No,3.5
INT_0018752,CUST_008704,,Branch,Feedback,Yes,5.4
INT_0015632,CUST_007864,2023-07-26 03:42:50,Branch,Complaint,Yes,8.6
INT_0010858,CUST_006199,2023-01-15 22:46:24,,,,6.2
INT_0008971,CUST_001410,2020-01-07 15:24:31,Call Centre,Inquiry,,7.8
INT_0004510,CUST_002610,,Branch,Complaint,Yes,4.8
INT_0012891,CUST_001391,,Call Centre,Loan Query,No,5.5
INT_0006931,CUST_006523,2020-11-02 07:07:18,Call Centre,Complaint,Yes,8.1
INT_0009971,CUST_003360,,Chat,Inquiry,No,
INT_0005653,CUST_005616,2018-06-02 15:59:23,Email,Complaint,Yes,6.0
INT_0008069,CUST_005810,2024-10-29 19:54:17,Branch,Inquiry,Yes,8.9
INT_0007186,CUST_009253,2023-08-28 01:40:11,Email,Complaint,,9.2
INT_0008579,CUST_008282,2022-08-11 09:15:08,Chat,Loan Query,Yes,3.8
INT_0019512,CUST_001321,,Call Centre,Feedback,Yes,
INT_0005763,CUST_005150,2019-04-28 00:46:00,Branch,Complaint,Yes,2.1
INT_0005236,CUST_009286,2020-08-30 06:54:44,Email,Account Issue,No,
INT_0008287,CUST_006795,2023-01-21 03:52:47,Call Centre,Feedback,Yes,1.4
INT_0006060,CUST_000532,2018-04-23 07:50:20,Call Centre,Inquiry,No,9.7
INT_0004593,CUST_008777,2024-12-27 15:57:30,,Account Issue,No,4.6
INT_0005775,CUST_000490,2023-09-16 20:58:27,,Complaint,No,6.8
INT_0003452,CUST_003990,2023-10-06 16:46:48,Email,Inquiry,Yes,9.6
INT_0005460,CUST_009836,2021-05-28 00:26:41,,,Yes,7.0
INT_0006525,CUST_006576,2021-08-06 01:45:35,Chat,Feedback,Yes,4.7
INT_0002362,CUST_004031,,,Account Issue,Yes,4.7
INT_0006942,CUST_003548,,Call Centre,Account Issue,Yes,
INT_0001034,CUST_002234,2019-06-18 12:51:42,Branch,Inquiry,Yes,3.6
INT_0012924,CUST_007293,2018-04-07 22:36:59,Chat,Account Issue,Yes,9.6
INT_0014482,CUST_004691,2020-04-04 09:18:10,Call Centre,Inquiry,,
INT_0007878,CUST_005711,2020-12-30 18:42:16,Chat,Complaint,Yes,3.5
INT_0011651,CUST_007096,,Call Centre,,Yes,5.2
INT_0000309,CUST_009716,2022-01-10 18:23:53,Chat,Inquiry,Yes,
INT_0005087,CUST_001901,2022-04-26 14:21:58,Chat,Loan Query,Yes,5.6
INT_0010064,CUST_004790,2024-10-10 23:59:28,Branch,Inquiry,Yes,8.1
INT_0010006,CUST_004836,2020-10-29 21:13:19,Email,Complaint,Yes,1.1
INT_0006762,CUST_002918,,Call Centre,Inquiry,,4.3
INT_0004181,CUST_000959,2023-01-09 23:46:57,Chat,Feedback,Yes,5.2
INT_0004438,CUST_006057,2021-06-25 20:10:36,Email,Inquiry,Yes,
INT_0013521,CUST_003683,2019-11-24 05:03:03,Chat,Feedback,Yes,3.0
INT_0001295,CUST_003114,2019-11-16 16:19:17,Email,Complaint,No,4.3
INT_0015385,CUST_001924,2020-08-25 16:24:31,Chat,Complaint,Yes,5.4
INT_0018526,CUST_000606,2022-03-22 06:46:11,,Loan Query,Yes,7.5
INT_0012822,CUST_007800,,Branch,,,1.7
INT_0008904,CUST_004771,,Chat,Loan Query,,3.8
INT_0008863,CUST_000396,2018-05-04 17:40:58,Email,,Yes,10.0
INT_0006684,CUST_001792,2021-05-10 22:18:53,Branch,Inquiry,Yes,1.3
INT_0012341,CUST_001567,2019-04-25 02:17:18,,Feedback,Yes,8.0
INT_0007456,CUST_000607,2023-03-23 15:03:13,Branch,Loan Query,,9.9
INT_0010627,CUST_007658,,Chat,Account Issue,Yes,5.4
INT_0009339,CUST_009244,2020-01-01 10:45:49,Email,Inquiry,No,
INT_0007312,CUST_009630,2024-05-12 05:03:32,Email,Loan Query,Yes,3.3
INT_0010910,CUST_001084,2019-09-21 18:23:18,,,Yes,8.0
INT_0013882,CUST_004332,2022-03-05 16:18:22,Email,,Yes,6.5
INT_0013616,CUST_004509,2019-10-08 19:14:18,Call Centre,Complaint,Yes,9.0
INT_0014713,CUST_009712,2020-06-28 22:36:11,Call Centre,Loan Query,Yes,4.2
INT_0009362,CUST_005848,2018-02-01 05:13:56,Chat,Account Issue,No,8.3
INT_0005223,CUST_001754,2021-03-08 18:15:10,Chat,Inquiry,Yes,3.8
INT_0014047,CUST_009125,2022-05-04 06:03:30,Email,,,4.5
INT_0002367,CUST_003289,2022-05-15 04:19:35,Branch,Inquiry,Yes,5.0
INT_0013306,CUST_004991,2018-01-12 12:33:51,Chat,Inquiry,Yes,2.6
INT_0000329,CUST_001039,2023-04-09 10:09:14,Branch,Loan Query,Yes,8.7
INT_0019849,CUST_003615,2019-06-30 12:42:20,Call Centre,Loan Query,Yes,2.6
INT_0004237,CUST_009348,,Chat,Complaint,Yes,
INT_0009211,CUST_003562,2021-05-17 16:39:51,,Inquiry,Yes,
INT_0000071,CUST_002061,,Branch,Feedback,Yes,5.7
INT_0016000,CUST_001052,,,,Yes,10.0
INT_0000484,CUST_009864,,Call Centre,Inquiry,Yes,2.1
INT_0011695,CUST_004513,2023-06-07 23:29:05,Chat,Loan Query,Yes,4.8
INT_0017514,CUST_000913,2018-05-20 14:10:42,Branch,Loan Query,,2.0
INT_0005365,CUST_000386,2019-01-10 08:20:40,Chat,Account Issue,Yes,2.4
INT_0003077,CUST_003435,2019-04-15 02:48:51,,Complaint,Yes,2.5
INT_0002966,CUST_004714,2020-09-16 23:41:25,Branch,Loan Query,Yes,8.6
INT_0018176,CUST_008007,,Call Centre,Inquiry,Yes,3.2
INT_0000857,CUST_003033,2019-02-09 19:21:38,Branch,Feedback,Yes,6.4
INT_0001641,CUST_007606,2022-10-23 17:49:54,,,Yes,
INT_0006867,CUST_009703,2022-05-20 20:20:12,Email,Inquiry,No,4.8
INT_0015671,CUST_001623,2022-03-15 16:22:55,Chat,Feedback,No,7.8
INT_0010694,CUST_008558,2021-12-31 19:07:00,Branch,Inquiry,Yes,7.0
INT_0014206,CUST_008522,2020-11-30 01:20:51,,Inquiry,No,9.8
INT_0011735,CUST_007247,,Email,Feedback,Yes,1.5
INT_0001412,CUST_007332,2020-05-27 16:14:52,Call Centre,Complaint,Yes,7.0
INT_0000407,CUST_005862,2019-06-17 11:00:35,Email,Loan Query,Yes,4.4
INT_0015927,CUST_006956,2021-07-10 09:47:10,,,Yes,3.9
INT_0015271,CUST_003897,2021-08-23 14:57:09,Chat,,Yes,
INT_0004302,CUST_003100,2018-12-15 09:59:23,Chat,Feedback,Yes,
INT_0011456,CUST_008651,2020-02-14 17:49:13,Chat,,Yes,3.1
INT_0007887,CUST_000843,2020-10-17 16:27:08,Chat,,Yes,5.2
INT_0017785,CUST_009300,2023-02-16 10:08:04,Chat,Feedback,Yes,9.5
INT_0004639,CUST_007539,2023-04-15 01:08:35,Branch,Inquiry,Yes,2.5
INT_0002701,CUST_003926,2024-12-07 08:51:39,Email,Account Issue,,7.3
INT_0002788,CUST_004681,2021-11-02 21:25:01,Email,Feedback,Yes,6.5
INT_0000227,CUST_006077,2018-02-21 06:53:41,Branch,Feedback,Yes,9.8
INT_0014175,CUST_008193,2019-03-03 09:38:58,Call Centre,Complaint,Yes,
INT_0017865,CUST_009397,2020-12-24 18:18:06,Chat,Complaint,Yes,5.9
INT_0014214,CUST_001494,2021-12-18 01:17:52,Branch,Complaint,Yes,9.4
INT_0009500,CUST_008723,2024-08-07 17:02:38,Call Centre,Account Issue,Yes,2.1
INT_0005608,CUST_003959,,Chat,Account Issue,Yes,2.1
INT_0013947,CUST_009735,2020-12-16 17:50:09,Branch,Complaint,Yes,6.5
INT_0019562,CUST_005455,2021-11-04 05:40:11,Chat,Complaint,Yes,7.1
INT_0001860,CUST_008347,,Email,,Yes,9.6
INT_0018799,CUST_002635,2024-08-31 08:59:40,Chat,Complaint,,1.0
INT_0009433,CUST_008680,2022-07-02 02:41:34,Email,Loan Query,Yes,5.8
INT_0014655,CUST_008594,2023-06-19 01:13:00,Chat,,Yes,8.5
INT_0019363,CUST_001741,2023-09-22 09:44:43,Email,Complaint,Yes,7.6
INT_0003291,CUST_003071,2018-11-18 08:57:37,Email,,Yes,8.5
INT_0015398,CUST_005463,2020-07-19 08:49:35,,,Yes,4.6
INT_0009323,CUST_008546,2021-02-28 05:40:48,Email,Inquiry,Yes,3.2
INT_0003292,CUST_000688,2022-01-27 16:46:39,,Feedback,Yes,3.5
INT_0014188,CUST_001003,,Email,Loan Query,Yes,8.6
INT_0013077,CUST_005183,2018-06-24 17:35:31,Branch,Inquiry,Yes,2.9
INT_0009728,CUST_002445,2024-02-28 19:53:35,Chat,Complaint,Yes,
INT_0014275,CUST_000044,2024-08-18 01:39:56,Email,Inquiry,Yes,3.4
INT_0000081,CUST_004525,2022-12-23 21:11:06,Call Centre,Feedback,Yes,2.2
INT_0007569,CUST_008376,2020-10-18 09:15:04,Chat,Loan Query,Yes,9.8
INT_0015625,CUST_006635,2018-03-20 09:25:29,Email,Loan Query,,5.1
INT_0017233,CUST_005654,2018-06-13 05:25:49,Call Centre,Complaint,Yes,4.1
INT_0000685,CUST_002548,2019-06-11 03:07:49,Chat,Complaint,Yes,9.7
INT_0019223,CUST_007795,2022-03-03 16:10:27,,Account Issue,No,6.7
INT_0005855,CUST_006911,2018-09-29 12:04:22,Call Centre,Account Issue,,2.3
INT_0016834,CUST_005350,2019-03-01 09:48:05,Branch,Inquiry,No,2.5
INT_0017314,CUST_000076,2024-12-18 07:12:27,Email,,Yes,
INT_0018276,CUST_005206,2020-03-06 05:16:38,,Loan Query,Yes,1.2
INT_0014506,CUST_002552,,Chat,Loan Query,Yes,6.3
INT_0018399,CUST_002397,2018-02-02 02:34:30,Branch,Inquiry,Yes,9.2
INT_0019282,CUST_002577,2019-08-17 02:23:54,Chat,,Yes,8.0
INT_0010238,CUST_005097,2022-04-18 09:25:05,Email,,Yes,
INT_0009002,CUST_003248,2019-11-24 20:12:21,Chat,Feedback,Yes,4.3
INT_0019438,CUST_006100,2023-04-05 08:07:56,Email,Feedback,Yes,7.7
INT_0012015,CUST_006342,2020-03-28 12:39:37,Call Centre,Inquiry,Yes,4.7
INT_0012044,CUST_002989,2019-01-10 03:03:59,Email,Account Issue,No,7.9
INT_0008810,CUST_005963,2024-02-25 01:11:44,Call Centre,Loan Query,Yes,9.1
INT_0007622,CUST_009582,,Email,Feedback,Yes,7.3
INT_0016879,CUST_006011,,Email,Feedback,Yes,6.5
INT_0006253,CUST_000892,,Chat,Inquiry,Yes,3.8
INT_0016880,CUST_006476,2019-11-29 21:02:04,Email,Complaint,Yes,7.0
INT_0008009,CUST_001613,2021-09-26 11:27:41,Email,Inquiry,Yes,4.3
INT_0010276,CUST_006176,2019-08-24 12:05:25,Call Centre,Loan Query,Yes,3.7
INT_0009693,CUST_009807,2019-01-02 03:51:37,Chat,,Yes,4.3
INT_0019871,CUST_007298,2023-12-28 08:06:27,,Feedback,No,1.7
INT_0002933,CUST_006393,2020-06-09 21:41:54,Email,Loan Query,Yes,3.2
INT_0002757,CUST_007583,2022-11-25 04:36:07,,Complaint,Yes,
INT_0002880,CUST_000516,2018-06-04 09:51:05,Branch,Account Issue,Yes,2.2
INT_0012600,CUST_002888,,Chat,Feedback,Yes,6.5
INT_0015792,CUST_009383,2022-08-07 23:37:42,,Complaint,Yes,1.9
INT_0019672,CUST_008961,2023-10-28 16:18:35,,Loan Query,No,2.5
INT_0015583,CUST_000566,2024-05-15 12:00:09,Branch,Account Issue,Yes,6.0
INT_0018086,CUST_009757,2020-05-11 22:43:30,Email,Complaint,Yes,
INT_0002623,CUST_001530,2018-11-29 15:26:37,Call Centre,Inquiry,No,8.2
INT_0013613,CUST_004701,2021-03-03 22:41:26,Email,Feedback,Yes,8.5
INT_0012226,CUST_008384,2022-04-21 22:06:40,Call Centre,,Yes,7.7
INT_0016980,CUST_005865,2020-02-18 09:38:57,,Loan Query,Yes,9.1
INT_0007182,CUST_007028,,Call Centre,Account Issue,Yes,1.0
INT_0018663,CUST_003037,,Call Centre,Feedback,Yes,7.9
INT_0013485,CUST_002339,2023-05-14 09:58:46,Call Centre,Inquiry,Yes,1.8
INT_0001942,CUST_008093,2022-06-11 10:57:22,Call Centre,Feedback,Yes,6.5
INT_0013819,CUST_009382,2023-07-23 18:31:07,Chat,Account Issue,Yes,9.4
INT_0003259,CUST_001958,2019-05-27 09:10:51,Email,Complaint,Yes,6.6
INT_0014205,CUST_005189,2018-03-07 12:45:43,Chat,,No,5.9
INT_0016203,CUST_006620,2020-07-17 06:22:29,Branch,Account Issue,Yes,7.5
INT_0010668,CUST_009786,2023-07-12 06:21:52,,Complaint,Yes,5.5
INT_0010837,CUST_000089,2019-04-30 15:52:01,Email,Loan Query,Yes,3.1
INT_0007986,CUST_001087,2019-12-08 21:58:50,,Complaint,No,8.1
INT_0005251,CUST_000037,2019-09-23 10:01:05,,Inquiry,,8.1
INT_0000078,CUST_002180,2024-03-02 06:21:36,Branch,Complaint,,9.7
INT_0015053,CUST_001734,2023-12-29 13:52:57,Chat,Complaint,Yes,6.7
INT_0010349,CUST_008651,2019-08-01 11:03:30,Chat,Loan Query,Yes,7.7
INT_0016063,CUST_001568,2019-12-14 14:49:05,Branch,Complaint,No,8.4
INT_0010366,CUST_003527,2021-11-07 07:45:37,Branch,Feedback,Yes,7.6
INT_0009233,CUST_001359,2018-07-29 23:07:57,Branch,Feedback,Yes,3.2
INT_0005406,CUST_003986,2024-02-28 09:32:04,,Inquiry,,2.6
