account_id,customer_id,account_type,balance,status,open_date,close_date,product_count
ACC_0010188,CUST_003378,Fixed Deposit,33021.89,Active,2019-08-15 14:44:55,,3.0
ACC_0008413,CUST_002942,Fixed Deposit,129657.84,Closed,2022-08-10 08:32:45,,
ACC_0001282,CUST_000250,,71741.72,,2022-08-13 14:57:49,,4.0
ACC_0010916,CUST_005028,Fixed Deposit,118844.04,Active,2023-03-01 05:51:37,,
ACC_0000806,CUST_003249,Savings,,Active,2022-10-17 14:35:36,,4.0
ACC_0013326,CUST_009226,Loan,,Active,,,1.0
ACC_0012827,CUST_001335,Loan,110907.27,,2021-01-19 05:11:09,,
ACC_0009789,CUST_009288,,2774.05,Active,2017-12-13 14:06:36,,1.0
ACC_0004331,CUST_008427,Loan,103607.24,Active,2022-06-09 16:03:06,,3.0
ACC_0003590,CUST_001148,Savings,,Active,2021-05-28 04:16:45,,1.0
ACC_0001845,CUST_004103,Savings,25776.2,Active,2017-10-28 00:09:10,,2.0
ACC_0008558,CUST_009628,Savings,131224.01,Active,2020-06-22 06:36:04,,4.0
ACC_0005997,CUST_002890,Savings,102731.58,Active,2018-03-15 12:15:54,,3.0
ACC_0013734,CUST_000238,Current,9343.45,Active,2018-12-12 05:08:06,,2.0
ACC_0000172,CUST_003093,Savings,31227.72,Active,2021-07-01 21:54:17,,1.0
ACC_0009819,CUST_006014,Savings,79386.26,Closed,2015-06-28 01:29:54,,
ACC_0009843,CUST_000044,Fixed Deposit,77134.89,,2021-07-27 00:58:52,,4.0
ACC_0014241,CUST_003484,Current,55577.45,Active,2015-05-20 09:40:55,,2.0
ACC_0008231,CUST_007747,,66451.53,Active,,,2.0
ACC_0003867,CUST_006923,Savings,4729.62,Active,2016-10-17 22:21:44,,4.0
ACC_0011144,CUST_009467,Savings,112815.95,Active,2022-07-28 01:11:10,,1.0
ACC_0000283,CUST_006550,Savings,,Dormant,2018-07-30 02:11:06,,4.0
ACC_0008975,CUST_004456,Savings,123823.46,Active,2018-11-09 02:49:29,,3.0
ACC_0006931,CUST_009040,,68161.29,Closed,2018-04-11 11:31:52,,2.0
ACC_0004313,CUST_000254,Current,,Active,2020-06-17 12:02:43,,
ACC_0005288,CUST_006112,Current,61012.68,,,,2.0
ACC_0013295,CUST_000277,Loan,,Closed,2016-02-13 17:06:15,2017-03-12 17:06:15,1.0
ACC_0001854,CUST_001424,Current,100149.78,Closed,2021-05-02 06:34:13,2022-10-20 06:34:13,1.0
ACC_0007673,CUST_005747,,121981.93,Active,2019-02-01 10:41:41,,2.0
ACC_0003741,CUST_005961,Savings,117912.83,Active,2016-06-10 00:12:47,,1.0
ACC_0011000,CUST_005942,Fixed Deposit,128549.04,Active,2022-01-10 10:59:20,,1.0
ACC_0000557,CUST_003782,Fixed Deposit,86349.88,Closed,2022-10-08 16:45:55,2024-02-12 16:45:55,1.0
ACC_0007687,CUST_006459,Savings,67367.61,Dormant,,,2.0
ACC_0009657,CUST_001270,,62335.84,Active,2015-01-16 10:06:27,,3.0
ACC_0002049,CUST_001142,Loan,22163.85,Active,2015-04-27 09:27:13,,4.0
ACC_0006889,CUST_006137,Current,55941.93,Active,2015-05-13 06:46:47,,2.0
ACC_0014187,CUST_005413,Fixed Deposit,45772.61,,2019-02-24 17:31:38,2020-06-08 17:31:38,1.0
ACC_0013252,CUST_007088,Current,35834.15,Closed,2022-03-16 07:42:58,2024-06-14 07:42:58,1.0
ACC_0002065,CUST_004376,Loan,112412.24,Closed,2022-08-17 08:48:46,2023-12-08 08:48:46,3.0
ACC_0004427,CUST_007809,Savings,30954.49,Active,2018-08-30 01:07:06,,4.0
ACC_0001429,CUST_005646,,113659.07,Active,,,
ACC_0000569,CUST_001616,Fixed Deposit,10900.68,Dormant,2021-08-22 04:42:01,,4.0
ACC_0012792,CUST_007545,Fixed Deposit,46564.45,Active,2015-11-11 14:17:21,,3.0
ACC_0010069,CUST_001488,Current,123326.3,Active,2021-12-20 01:11:31,,2.0
ACC_0003375,CUST_009209,Loan,28048.91,Active,2015-11-25 20:45:59,,1.0
ACC_0013229,CUST_009757,,102897.14,Active,,,3.0
ACC_0001615,CUST_003651,,39239.28,Closed,2023-06-17 10:01:41,2024-12-31 00:00:00,4.0
ACC_0013930,CUST_004727,Fixed Deposit,112775.98,Active,2017-07-29 03:29:40,,3.0
ACC_0012233,CUST_001883,Current,57692.41,Active,2021-07-06 04:41:09,,4.0
ACC_0001871,CUST_006844,Current,86647.61,,2017-12-09 04:18:51,,3.0
ACC_0001332,CUST_002438,,140719.87,Dormant,2017-12-04 13:36:40,,
ACC_0010984,CUST_004291,Fixed Deposit,147171.72,Closed,2019-01-22 17:00:59,,4.0
ACC_0005477,CUST_003386,Current,75319.16,Active,2022-11-21 22:53:13,,2.0
ACC_0008506,CUST_003954,Savings,148067.9,Active,,,
ACC_0010553,CUST_009984,Loan,140248.07,Closed,,2018-12-07 23:38:22,2.0
ACC_0011594,CUST_001287,Current,22533.47,Active,2018-02-26 21:25:44,,1.0
ACC_0009922,CUST_001435,,52581.55,Active,2016-07-21 08:50:23,,2.0
ACC_0001007,CUST_005409,,85676.83,Active,2017-07-18 07:00:36,,1.0
ACC_0006402,CUST_007104,Fixed Deposit,84126.32,Active,2019-12-26 10:00:18,,3.0
ACC_0006042,CUST_007648,Savings,48495.08,Active,2018-03-20 04:08:51,,2.0
ACC_0008636,CUST_005379,Loan,125123.28,Active,2016-03-29 02:34:07,,1.0
ACC_0007951,CUST_000526,Loan,41108.98,Active,2022-12-07 23:34:04,,4.0
ACC_0012269,CUST_007800,Savings,70692.26,Active,2017-09-21 15:10:27,,2.0
ACC_0007633,CUST_001481,Loan,130201.85,Active,2015-01-19 04:41:52,,3.0
ACC_0007079,CUST_001005,,59292.18,Dormant,2015-02-11 17:15:53,,1.0
ACC_0005009,CUST_008683,,42899.12,Closed,2016-08-10 08:21:52,2017-08-04 08:21:52,4.0
ACC_0004362,CUST_001283,,120632.58,,2018-10-03 21:49:14,,
ACC_0007435,CUST_001183,Savings,86534.0,Active,2019-09-27 11:21:55,,2.0
ACC_0014853,CUST_008134,Current,106836.1,Active,,,4.0
ACC_0010849,CUST_000713,Loan,101465.12,Active,2016-04-14 07:37:01,,4.0
ACC_0004991,CUST_004675,Fixed Deposit,110864.43,Closed,2016-01-13 11:45:28,2016-10-18 11:45:28,
ACC_0012132,CUST_006787,Fixed Deposit,124155.3,Active,,,2.0
ACC_0007653,CUST_000234,Current,135020.85,Closed,2018-11-13 19:24:28,2019-02-08 19:24:28,3.0
ACC_0004154,CUST_004787,Loan,91711.18,Active,,,4.0
ACC_0012780,CUST_007135,Current,21619.1,Closed,2019-02-08 12:13:12,2021-09-04 12:13:12,4.0
ACC_0011805,CUST_008796,Savings,87303.76,Closed,2019-05-23 03:12:25,,3.0
ACC_0013877,CUST_005209,,,Active,2016-04-21 00:29:49,,3.0
ACC_0006275,CUST_007130,Loan,26372.38,Active,2020-05-31 06:00:55,,1.0
ACC_0007047,CUST_008222,,128493.48,Active,2018-02-07 19:41:09,,4.0
ACC_0001266,CUST_008505,,39209.4,Active,2020-12-15 13:32:09,,2.0
ACC_0003895,CUST_007525,Current,,Active,2015-09-13 03:23:47,,3.0
ACC_0006814,CUST_004987,Current,36361.72,Active,,,
ACC_0012320,CUST_009548,Savings,137608.53,Closed,2019-01-11 10:30:01,2020-06-02 10:30:01,2.0
ACC_0000957,CUST_005733,Current,,Active,2018-02-22 17:28:50,,2.0
ACC_0000292,CUST_007793,Savings,,Active,,,3.0
ACC_0013768,CUST_007672,Current,124831.62,Dormant,2022-01-01 10:28:04,,2.0
ACC_0001575,CUST_007687,Savings,133682.62,Closed,2021-11-25 13:39:34,2024-09-29 13:39:34,4.0
ACC_0013138,CUST_001510,Savings,87298.37,Active,2019-05-16 09:49:14,,2.0
ACC_0010889,CUST_003515,,98049.94,,,,1.0
ACC_0008925,CUST_002129,Current,89421.13,Active,,,1.0
ACC_0012427,CUST_005986,Loan,80530.04,Active,2016-12-11 08:52:56,,4.0
ACC_0011666,CUST_004097,,105274.65,Dormant,2020-11-18 22:40:54,,1.0
ACC_0003648,CUST_007160,Savings,86310.7,Active,2022-02-28 20:47:52,,1.0
ACC_0003080,CUST_009523,Current,3146.3,Dormant,2015-07-30 13:44:49,,3.0
ACC_0011843,CUST_001072,Savings,92781.29,Dormant,2019-07-05 11:34:12,,3.0
ACC_0005236,CUST_007233,Fixed Deposit,,Active,2016-02-10 06:58:11,,4.0
ACC_0007442,CUST_000076,Loan,33263.21,,2021-03-27 21:31:34,2023-10-25 21:31:34,4.0
ACC_0000532,CUST_003452,Savings,145771.57,Closed,2019-06-24 08:58:01,2022-01-25 08:58:01,3.0
ACC_0006559,CUST_003206,Current,101437.37,Active,2020-10-15 08:08:28,,2.0
ACC_0008451,CUST_005263,Fixed Deposit,98199.51,,2016-01-07 02:58:33,,2.0
ACC_0008458,CUST_002012,Loan,,Active,2016-10-15 19:43:42,,2.0
ACC_0002265,CUST_002965,Savings,61058.06,Active,2020-04-21 01:31:47,,3.0
ACC_0012098,CUST_000447,Current,117629.69,Closed,2016-02-16 03:07:52,,2.0
ACC_0006826,CUST_000448,Current,136590.0,Active,2020-11-25 19:51:34,,2.0
ACC_0005770,CUST_009544,Savings,9288.55,Active,2022-05-24 02:25:36,,2.0
ACC_0004956,CUST_002961,,,Active,2022-01-05 07:52:53,,2.0
ACC_0008494,CUST_008419,Current,36783.39,Closed,2015-05-07 17:33:59,2016-07-20 17:33:59,1.0
ACC_0012649,CUST_009200,Current,103473.97,Dormant,2018-11-20 00:28:41,,3.0
ACC_0012887,CUST_001770,Savings,107765.48,Active,,,4.0
ACC_0000385,CUST_001568,,16297.17,,2017-07-25 17:23:08,,4.0
ACC_0010002,CUST_003500,Loan,82521.22,Dormant,2017-07-30 20:47:38,,3.0
ACC_0010166,CUST_000067,Loan,12927.11,Dormant,,,1.0
ACC_0003621,CUST_006073,,,Closed,,,3.0
ACC_0007507,CUST_004361,Loan,,Active,2022-08-24 12:56:14,,1.0
ACC_0007874,CUST_003603,Savings,,Active,2019-06-02 15:39:10,,2.0
ACC_0009019,CUST_002222,,124988.04,Dormant,2016-04-05 09:16:37,,2.0
ACC_0008424,CUST_000284,Fixed Deposit,132854.7,Active,2015-11-25 03:21:31,,
ACC_0014452,CUST_000030,Loan,98038.62,Dormant,2021-04-10 01:45:43,,3.0
ACC_0003815,CUST_001093,Current,62083.92,Active,2018-01-28 18:34:07,,2.0
ACC_0007563,CUST_003227,,,Active,,,1.0
ACC_0014701,CUST_006875,Fixed Deposit,140537.27,,,,
ACC_0005807,CUST_002247,,17363.51,Closed,2020-09-15 10:30:24,2023-02-10 10:30:24,
ACC_0002878,CUST_005575,Fixed Deposit,7988.82,Dormant,2018-08-07 11:12:56,,1.0
ACC_0004545,CUST_006151,Loan,117952.66,Active,2017-05-21 07:46:37,,4.0
ACC_0008032,CUST_006257,Fixed Deposit,,,2016-11-15 07:09:50,,2.0
ACC_0006223,CUST_009870,Fixed Deposit,139804.72,Active,2020-08-12 13:00:08,,
ACC_0009942,CUST_009758,,134307.5,,2021-05-05 01:53:14,,1.0
ACC_0014684,CUST_000509,Fixed Deposit,58006.78,Closed,2022-08-12 05:45:47,2023-04-13 05:45:47,3.0
ACC_0003300,CUST_006449,Fixed Deposit,136805.48,,2016-05-11 20:44:39,,4.0
ACC_0000653,CUST_001038,Fixed Deposit,3305.85,Closed,2022-06-08 09:52:41,2023-01-26 09:52:41,4.0
ACC_0007445,CUST_007785,Savings,39500.66,Active,2015-04-08 17:27:33,,4.0
ACC_0009764,CUST_002383,Current,91727.82,Active,2015-12-17 06:56:20,,3.0
ACC_0004753,CUST_002669,Fixed Deposit,37893.94,,2017-01-15 09:17:08,2018-10-27 09:17:08,
ACC_0013289,CUST_006020,,16558.73,Active,2017-07-11 21:26:22,,3.0
ACC_0010856,CUST_008310,Fixed Deposit,10689.07,Active,2020-04-21 05:03:49,,3.0
ACC_0003366,CUST_007714,Fixed Deposit,71271.0,Active,,,4.0
ACC_0000367,CUST_003862,Fixed Deposit,78171.42,Active,2017-10-19 21:54:18,,4.0
ACC_0005080,CUST_004264,Savings,,Dormant,2015-03-09 18:49:39,,4.0
ACC_0004655,CUST_005356,Savings,132523.66,,2020-07-24 21:14:02,,1.0
ACC_0010846,CUST_005035,Current,48161.14,,2015-01-01 04:26:03,,1.0
ACC_0008463,CUST_004600,Loan,128885.44,Closed,2019-07-16 01:30:09,2019-08-30 01:30:09,3.0
ACC_0009238,CUST_008704,Savings,,Active,,,2.0
ACC_0007571,CUST_004223,Current,113112.69,Closed,2016-03-21 02:46:07,,4.0
ACC_0008517,CUST_006197,,,Active,2019-11-11 07:45:51,,1.0
ACC_0003571,CUST_003919,Fixed Deposit,13244.1,Dormant,2019-09-13 03:18:24,,
ACC_0000496,CUST_005608,Current,41756.65,Active,2021-08-13 14:08:07,,1.0
ACC_0009807,CUST_001601,Loan,3710.88,Active,2021-05-01 22:08:50,,3.0
ACC_0011094,CUST_006901,Savings,26018.74,,2020-08-22 06:38:53,,
ACC_0000129,CUST_006131,Savings,40276.64,,,,2.0
ACC_0007098,CUST_000500,,123334.95,,2020-10-25 20:58:19,,1.0
ACC_0013244,CUST_005329,Savings,85326.83,Closed,2021-07-04 13:55:24,,4.0
ACC_0007312,CUST_001551,Savings,60725.42,Active,2021-03-07 13:38:53,,4.0
ACC_0010200,CUST_001386,Savings,19419.59,Active,2018-10-04 06:08:46,,2.0
ACC_0002559,CUST_001952,Savings,,Closed,2017-08-21 13:47:40,2018-09-07 13:47:40,4.0
ACC_0010981,CUST_000942,Savings,54648.93,Active,2018-02-18 23:34:15,,4.0
ACC_0010989,CUST_001593,Loan,148609.07,Active,,,
ACC_0007983,CUST_007030,Fixed Deposit,10608.74,Closed,,2016-03-18 19:58:30,1.0
ACC_0014046,CUST_004639,Loan,67298.18,Active,2015-07-25 17:55:01,,2.0
ACC_0004970,CUST_004910,Savings,14541.27,Dormant,2016-08-12 03:45:30,,4.0
ACC_0009634,CUST_003943,Savings,,Closed,2016-01-26 01:32:54,2017-01-15 01:32:54,1.0
ACC_0009999,CUST_005622,Fixed Deposit,147090.02,Closed,2018-12-16 01:00:43,2021-07-03 01:00:43,2.0
ACC_0000357,CUST_005155,Current,,Active,2017-08-01 23:04:13,,2.0
ACC_0005482,CUST_005272,,140933.13,Active,2018-11-22 01:40:51,,1.0
ACC_0009295,CUST_006431,,76105.94,Dormant,,,
ACC_0010206,CUST_005066,Loan,46007.4,Active,2023-01-18 13:34:56,,3.0
ACC_0008047,CUST_002405,Current,122033.36,Closed,2020-02-23 01:58:46,2021-02-14 01:58:46,1.0
ACC_0006155,CUST_008270,,144424.19,Closed,2018-02-25 04:20:09,2020-02-03 04:20:09,4.0
ACC_0000733,CUST_000441,Loan,55934.16,Closed,2020-08-05 10:39:26,2021-03-29 10:39:26,3.0
ACC_0003809,CUST_007218,,115198.35,Closed,,2018-08-15 09:05:42,2.0
ACC_0002589,CUST_006315,Current,60071.6,Dormant,2019-02-25 05:46:23,,
ACC_0009883,CUST_001256,Fixed Deposit,145020.77,Active,2015-05-02 03:57:05,,3.0
ACC_0011157,CUST_000952,Savings,143386.62,Active,2022-05-30 22:03:53,,1.0
ACC_0010592,CUST_006050,Current,3652.12,Active,2021-03-01 11:16:52,,4.0
ACC_0004515,CUST_007740,Fixed Deposit,40548.66,Active,2017-09-22 00:21:47,,3.0
ACC_0013861,CUST_002792,Fixed Deposit,42367.85,Active,2015-09-28 18:11:35,,3.0
ACC_0014400,CUST_001646,,41029.81,Active,2016-05-21 18:22:53,,2.0
ACC_0011493,CUST_004179,Current,105001.69,Active,,,1.0
ACC_0008690,CUST_009784,,88103.68,Active,2023-02-26 04:55:34,,4.0
ACC_0003800,CUST_004939,Fixed Deposit,,,2018-02-11 15:52:04,,
ACC_0000254,CUST_000378,Fixed Deposit,54573.4,Active,2021-02-20 16:37:18,,1.0
ACC_0014287,CUST_002538,Loan,70436.06,Dormant,2021-12-29 22:58:07,,3.0
ACC_0006622,CUST_006554,Savings,123230.56,Active,,,
ACC_0007872,CUST_009678,Savings,28735.78,Active,2020-02-08 11:16:38,,3.0
ACC_0008903,CUST_001183,Loan,,Active,2016-07-12 17:35:20,,4.0
ACC_0011420,CUST_007225,Loan,,Active,2017-10-23 07:34:30,,2.0
ACC_0001756,CUST_008927,Loan,107690.35,Active,2023-06-23 19:09:34,,3.0
ACC_0010597,CUST_004794,Fixed Deposit,,Active,2016-05-26 13:33:55,,1.0
ACC_0008168,CUST_002529,,9334.62,Active,,,3.0
ACC_0007100,CUST_009747,Savings,125596.59,Active,2018-06-03 04:53:47,,2.0
ACC_0012327,CUST_006414,Savings,99037.37,Active,,,
ACC_0001280,CUST_001601,Current,51220.98,Active,,,1.0
ACC_0002026,CUST_001712,Loan,90084.18,Active,2016-12-27 04:15:08,,3.0
ACC_0014600,CUST_004426,,24409.88,Active,2017-12-16 09:07:26,,2.0
ACC_0000118,CUST_002656,Current,77520.62,Active,,,
ACC_0000564,CUST_000913,Loan,3972.4,Active,2022-06-19 09:23:30,,2.0
ACC_0013748,CUST_009647,,14455.88,Active,2016-01-02 23:07:08,,3.0
ACC_0011603,CUST_005691,Current,,Active,2017-12-14 11:36:22,,3.0
ACC_0008140,CUST_007090,,46895.62,Active,2018-03-03 12:08:36,,
ACC_0001506,CUST_000267,Fixed Deposit,135589.49,Active,,,2.0
ACC_0013484,CUST_008244,,,Active,2017-05-12 08:42:15,,1.0
ACC_0001065,CUST_005531,,91851.59,Active,2015-08-14 08:59:55,,1.0
ACC_0006458,CUST_009656,Loan,134113.04,Dormant,2017-03-07 16:45:24,,3.0
ACC_0001920,CUST_007559,Current,1977.58,Active,2022-09-01 08:43:06,,1.0
ACC_0000323,CUST_005792,Savings,68051.82,Active,2015-10-29 13:33:17,,2.0
ACC_0010966,CUST_003812,Loan,37699.07,Active,2019-01-29 20:45:44,,1.0
ACC_0007779,CUST_008528,Current,110414.58,Active,2015-12-19 19:18:33,,
ACC_0004648,CUST_000759,Savings,14099.53,,,,1.0
ACC_0007461,CUST_000867,Current,112989.94,Active,2019-11-01 03:04:11,,2.0
ACC_0002292,CUST_006640,Loan,131978.55,Active,2015-08-19 04:36:06,,1.0
ACC_0014063,CUST_005326,Fixed Deposit,118057.9,Closed,2023-03-11 19:58:46,2024-02-13 19:58:46,4.0
ACC_0003654,CUST_005585,,39440.44,Active,2017-09-25 10:49:44,,1.0
ACC_0003578,CUST_006142,Savings,,Closed,,2024-12-31 00:00:00,
ACC_0011191,CUST_004136,Loan,4110.04,Active,2021-05-11 19:40:25,,2.0
ACC_0004923,CUST_006883,Current,19211.5,Active,2019-12-25 20:26:38,,4.0
ACC_0005591,CUST_005893,Savings,21001.3,Active,2020-09-13 17:46:22,,4.0
ACC_0012044,CUST_007363,Current,59212.52,Active,2017-04-02 07:50:59,,2.0
ACC_0014267,CUST_003750,Current,99389.61,Active,2020-10-07 17:55:25,,1.0
ACC_0012803,CUST_001911,Loan,146747.59,,,2024-06-29 22:19:08,4.0
ACC_0004132,CUST_001931,Current,119078.46,Active,2021-07-11 22:20:18,,3.0
ACC_0005361,CUST_006750,Loan,,Active,2016-10-16 18:58:44,,3.0
ACC_0010763,CUST_001514,,,Active,2021-02-10 18:50:24,,2.0
ACC_0003780,CUST_007096,Loan,112981.9,Active,2020-06-18 14:01:14,,4.0
ACC_0009488,CUST_007953,Current,17987.83,Active,2021-09-19 04:44:31,,3.0
ACC_0014223,CUST_003956,,,Active,2017-09-16 21:31:38,,1.0
ACC_0001548,CUST_004343,Loan,24166.51,Active,,,2.0
ACC_0013330,CUST_007061,Loan,148824.76,Active,2022-11-10 22:03:59,,4.0
ACC_0006611,CUST_004419,Savings,65544.47,Active,2023-04-12 18:15:42,,4.0
ACC_0002258,CUST_007801,Loan,78249.13,Active,,,2.0
ACC_0012051,CUST_007627,Fixed Deposit,95932.19,Dormant,2018-09-03 08:20:17,,1.0
ACC_0005964,CUST_004006,Loan,65513.05,Active,2016-12-17 00:22:39,,3.0
ACC_0003543,CUST_007029,,123757.44,Active,2019-03-08 10:30:04,,2.0
ACC_0010001,CUST_001327,Fixed Deposit,148096.6,Dormant,,,2.0
ACC_0010100,CUST_003848,Current,64177.24,Active,2019-06-18 17:02:05,,4.0
ACC_0012147,CUST_004943,Loan,128113.9,Closed,2020-06-22 14:18:59,2022-06-11 14:18:59,4.0
ACC_0008476,CUST_005083,,101046.14,Active,2019-11-23 23:35:14,,1.0
ACC_0008468,CUST_004266,Savings,34681.05,Dormant,2017-04-12 02:00:09,,4.0
ACC_0004142,CUST_007946,Current,120335.75,Active,2020-09-02 12:55:30,,1.0
ACC_0012087,CUST_009777,Current,81579.5,Active,2017-10-05 02:06:44,,2.0
ACC_0013735,CUST_003838,Current,16707.45,Active,,,2.0
ACC_0002655,CUST_002199,Fixed Deposit,147577.78,Closed,2016-12-26 19:20:30,2018-03-10 19:20:30,1.0
ACC_0009725,CUST_003487,Loan,,Active,2018-03-24 05:14:01,,3.0
ACC_0010660,CUST_003598,Savings,,Active,2016-06-16 23:50:07,,
ACC_0000196,CUST_001887,Savings,96749.69,Active,,,3.0
ACC_0000794,CUST_004515,Savings,,,2019-05-03 07:21:03,2019-12-01 07:21:03,2.0
ACC_0014740,CUST_003937,Loan,66501.89,Active,2020-04-13 16:20:29,,4.0
ACC_0011794,CUST_009214,Loan,111512.11,Active,,,3.0
ACC_0001360,CUST_004728,Loan,126994.91,Dormant,,,1.0
ACC_0003717,CUST_005379,Loan,3387.81,,2015-03-13 20:31:07,,4.0
ACC_0000677,CUST_004341,Current,106755.27,Active,2019-09-14 17:18:03,,1.0
ACC_0008193,CUST_007993,Loan,126797.16,,2017-08-17 10:03:24,,3.0
ACC_0010280,CUST_007708,Savings,2477.0,Closed,2018-10-27 16:13:17,2019-02-04 16:13:17,3.0
ACC_0011615,CUST_009111,Savings,7909.01,Active,2018-05-04 18:52:26,,2.0
ACC_0007022,CUST_006398,Savings,7580.97,Active,2021-05-18 09:26:05,,
ACC_0007596,CUST_006271,Fixed Deposit,,Active,,,3.0
ACC_0013518,CUST_004241,Fixed Deposit,89731.24,Dormant,2017-09-20 18:51:47,,2.0
ACC_0004559,CUST_001276,Savings,112832.76,Active,2018-11-19 19:16:41,,4.0
ACC_0012462,CUST_006044,Savings,,Active,2023-06-07 09:05:12,,2.0
ACC_0003179,CUST_001828,Savings,,Active,2015-05-05 01:38:53,,4.0
ACC_0012632,CUST_007646,Current,35359.39,Closed,2015-07-16 00:53:52,2018-05-20 00:53:52,
ACC_0004833,CUST_000847,Loan,,,,,3.0
ACC_0003632,CUST_008581,Fixed Deposit,,,2023-02-02 19:51:59,,3.0
ACC_0003610,CUST_006458,Current,63062.27,Active,2019-05-06 13:45:39,,3.0
ACC_0010537,CUST_006106,Fixed Deposit,12122.7,Closed,2020-12-03 00:24:52,2023-04-17 00:24:52,4.0
ACC_0014086,CUST_009636,Current,103133.88,Active,2018-08-18 01:47:46,,2.0
ACC_0006315,CUST_002127,Fixed Deposit,148032.39,Active,2021-07-10 13:56:35,,3.0
ACC_0003169,CUST_008516,Current,28530.2,Active,2019-05-08 11:57:27,,
ACC_0013478,CUST_009771,,51549.84,,2020-02-28 21:57:18,2021-10-17 21:57:18,1.0
ACC_0002110,CUST_005596,Loan,138933.97,Dormant,2022-12-19 15:13:18,,
ACC_0004924,CUST_009305,Savings,46785.51,Active,,,1.0
ACC_0008994,CUST_001399,,,Active,2019-10-03 23:31:03,,4.0
ACC_0010027,CUST_007708,Loan,,Active,2018-02-16 11:51:24,,1.0
ACC_0009788,CUST_002404,Current,60126.52,Closed,,2017-08-24 10:41:58,
ACC_0009944,CUST_004598,Fixed Deposit,37484.39,Closed,2022-03-22 07:22:15,2024-05-20 07:22:15,1.0
ACC_0006011,CUST_005721,,122463.46,Active,2021-02-14 15:15:40,,3.0
ACC_0003998,CUST_005308,Current,66456.6,Active,2019-11-14 18:24:26,,3.0
ACC_0003466,CUST_009472,Fixed Deposit,117541.83,Closed,,2019-09-16 20:58:35,3.0
ACC_0010832,CUST_001492,,10568.0,Dormant,2018-01-13 01:20:50,,4.0
ACC_0008596,CUST_000921,,145334.76,Active,2016-04-15 22:40:03,,3.0
ACC_0003878,CUST_004519,,5995.23,Active,2018-05-31 23:12:36,,3.0
ACC_0000915,CUST_005232,Loan,92929.0,Active,2015-10-05 03:44:21,,1.0
ACC_0011083,CUST_007435,Loan,31607.25,Closed,,2022-05-31 08:07:24,1.0
ACC_0005008,CUST_003916,,69126.13,,2022-08-23 21:52:17,,2.0
ACC_0006663,CUST_003308,,47076.18,Closed,,2017-11-12 05:34:49,1.0
ACC_0013761,CUST_007873,,76926.28,Closed,2021-06-16 07:21:23,2024-09-04 07:21:23,4.0
ACC_0013967,CUST_001774,Current,37014.75,Active,2018-06-25 20:50:50,,
ACC_0000291,CUST_003871,Fixed Deposit,78591.73,Closed,2021-12-06 00:21:50,2023-04-08 00:21:50,4.0
ACC_0003323,CUST_005315,Loan,,Active,2016-01-04 17:11:07,,2.0
ACC_0009713,CUST_005520,Current,101186.99,Active,2017-11-10 17:33:45,,4.0
ACC_0004076,CUST_007976,Savings,114597.81,,2016-08-26 15:16:38,2016-11-15 15:16:38,3.0
ACC_0012270,CUST_005296,Loan,39945.81,Active,,,
